               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.039442,            0.014785,                   0,             0.83077,             0.81818,             0.91238,             0.52245,            0.036812,           0.0090142,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.040281,            0.016401,                   0,             0.82415,             0.80483,             0.91452,             0.48081,            0.035041,            0.008964,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.043134,            0.014186,                   0,             0.87776,             0.83838,             0.91645,             0.44825,            0.042785,           0.0084475,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.044525,            0.013353,                   0,             0.63196,              0.8499,             0.77992,             0.33031,             0.04394,           0.0078896,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.042351,            0.012614,                   0,              0.6781,             0.87244,             0.82099,             0.54175,            0.036634,           0.0072554,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.040423,            0.015651,                   0,             0.86951,             0.90909,             0.94698,             0.54673,            0.033954,           0.0073173,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,             0.04029,            0.013935,                   0,              0.8513,              0.9253,             0.95249,             0.59957,            0.030901,            0.007373,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.038907,            0.012832,                   0,             0.81279,             0.89899,             0.91867,             0.48125,             0.03753,           0.0070183,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.039955,            0.012639,                   0,             0.88058,             0.87879,             0.94938,             0.57789,            0.034346,           0.0070158,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.038077,            0.014455,                   0,             0.78779,             0.85859,             0.83168,             0.38368,            0.040665,           0.0074894,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.037948,            0.013585,                   0,             0.83749,             0.89899,             0.92478,             0.50935,            0.031688,           0.0076703,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,             0.04152,            0.012321,                   0,             0.81775,             0.82828,              0.9104,             0.36942,            0.042844,           0.0074819,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.039357,            0.013418,                   0,             0.86076,             0.89899,             0.95477,             0.59432,            0.030486,           0.0071683,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.038092,            0.012285,                   0,             0.89158,             0.90909,             0.96604,             0.43128,            0.038805,           0.0067737,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.036786,            0.012102,                   0,             0.88627,             0.92929,             0.97371,             0.66959,             0.02596,           0.0065311,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.039182,            0.012914,                   0,             0.92818,             0.91378,             0.97556,             0.45541,            0.036997,           0.0065278,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.037139,            0.013203,                   0,             0.87853,             0.92929,             0.96323,              0.5665,            0.035166,           0.0065161,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.038165,            0.012052,                   0,             0.87429,             0.98353,              0.9758,             0.65491,            0.026194,           0.0064236,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.035951,            0.012523,                   0,             0.91314,              0.9557,             0.98143,             0.54494,            0.029836,           0.0063927,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.038982,            0.013527,                   0,             0.91871,              0.9697,             0.98285,             0.65197,            0.028852,           0.0062395,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.034846,            0.012393,                   0,             0.88135,              0.9798,             0.97135,             0.55876,            0.033719,           0.0062053,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.036064,            0.012776,                   0,             0.90615,              0.9697,             0.97746,             0.68044,             0.02531,           0.0062328,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,             0.03702,            0.013418,                   0,             0.86609,             0.97997,             0.97421,             0.46777,            0.036016,            0.006243,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.038393,            0.012578,                   0,             0.92214,             0.95704,             0.97547,               0.644,            0.028668,           0.0060779,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.034424,            0.012799,                   0,             0.80915,              0.9596,              0.9215,             0.56873,            0.029966,           0.0063057,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.034313,            0.011416,                   0,             0.92945,              0.9798,             0.97417,             0.65002,            0.025982,           0.0060767,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.034154,            0.011959,                   0,             0.83199,             0.95043,             0.94399,             0.56371,            0.029462,           0.0059398,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.035663,            0.012152,                   0,             0.85258,              0.9596,               0.919,             0.54758,            0.032121,           0.0059255,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.032334,            0.011631,                   0,             0.92624,              0.9596,             0.98264,             0.69043,            0.025572,             0.00591,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.031773,            0.011104,                   0,             0.96074,              0.9596,             0.98956,             0.65682,            0.029098,           0.0056066,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.035943,            0.011758,                   0,             0.96394,              0.9697,             0.98845,             0.57812,            0.028808,           0.0055392,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.035012,            0.010884,                   0,             0.97083,              0.9596,             0.98749,             0.57015,            0.031589,           0.0055768,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,             0.03259,            0.010554,                   0,             0.91217,              0.9899,             0.97904,             0.65411,            0.026723,           0.0056711,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.031868,            0.011946,                   0,             0.95811,              0.9798,             0.98916,             0.65396,            0.026272,            0.005781,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.033566,            0.011566,                   0,             0.93628,              0.9798,             0.98809,             0.71547,            0.023986,           0.0056981,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,             0.03435,             0.01146,                   0,             0.93641,              0.9697,             0.98048,             0.64158,             0.02786,           0.0058844,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.032829,            0.011482,                   0,             0.94005,              0.9504,             0.97706,             0.70072,            0.025673,           0.0057129,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,              0.0306,            0.010849,                   0,             0.94172,              0.9697,             0.98258,             0.68458,            0.024489,           0.0055972,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.034045,            0.011844,                   0,             0.91385,              0.9899,             0.98383,             0.59485,            0.028275,           0.0056758,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.032668,            0.011403,                   0,             0.95885,              0.9899,             0.99002,              0.6276,            0.027208,           0.0054026,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.034383,             0.01158,                   0,             0.93478,              0.9798,             0.98888,             0.67127,            0.024466,           0.0053485,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.031055,            0.010518,                   0,             0.95665,                   1,             0.99289,             0.68006,            0.027272,           0.0052832,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.031066,            0.010792,                   0,             0.96077,             0.98958,              0.9922,             0.70532,             0.02309,           0.0052656,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,             0.03178,              0.0101,                   0,             0.97609,              0.9697,             0.99141,             0.55712,            0.035421,           0.0054615,                   0,            0.008416,            0.008416,            0.008416
                  82,             0.03498,            0.010524,                   0,             0.97964,             0.97196,             0.99037,             0.72189,            0.023017,           0.0054504,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.030761,            0.010189,                   0,             0.96085,              0.9798,             0.98979,             0.73965,            0.021247,           0.0052518,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.033606,            0.010719,                   0,             0.95122,             0.98489,             0.99036,              0.5696,            0.034886,           0.0053974,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.034209,            0.011061,                   0,             0.96066,              0.9697,             0.99025,             0.68123,            0.025691,           0.0053569,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.031616,            0.011482,                   0,             0.96052,             0.98299,             0.99221,             0.60802,            0.030102,           0.0052521,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.029709,            0.011081,                   0,              0.9705,              0.9969,             0.99391,             0.74512,            0.019346,           0.0049443,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.029485,            0.010615,                   0,             0.95894,              0.9899,              0.9883,              0.6299,             0.02855,           0.0050389,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.033774,            0.010872,                   0,             0.97045,             0.99528,             0.99379,             0.62775,            0.025106,           0.0051072,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.028087,           0.0099552,                   0,             0.97053,                   1,             0.99391,             0.72377,            0.020788,           0.0049471,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.026937,            0.010133,                   0,             0.95172,                   1,             0.99309,             0.75101,            0.021025,           0.0049779,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.026066,           0.0093508,                   0,             0.95184,             0.99831,             0.99218,             0.73309,            0.024124,           0.0050444,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.033769,            0.010111,                   0,             0.95142,             0.98904,             0.99252,              0.5735,            0.030011,           0.0049885,                   0,           0.0081784,           0.0081784,           0.0081784
